preset_id,word_id
0ea81186-374c-4a4d-8d47-51ced2403a29,13515
0ea81186-374c-4a4d-8d47-51ced2403a29,13543
0ea81186-374c-4a4d-8d47-51ced2403a29,13605
0ea81186-374c-4a4d-8d47-51ced2403a29,13608
0ea81186-374c-4a4d-8d47-51ced2403a29,13610
0ea81186-374c-4a4d-8d47-51ced2403a29,13567
0ea81186-374c-4a4d-8d47-51ced2403a29,13575
0ea81186-374c-4a4d-8d47-51ced2403a29,13614
0ea81186-374c-4a4d-8d47-51ced2403a29,13618
0ea81186-374c-4a4d-8d47-51ced2403a29,13744
0ea81186-374c-4a4d-8d47-51ced2403a29,13805
0ea81186-374c-4a4d-8d47-51ced2403a29,14321
0ea81186-374c-4a4d-8d47-51ced2403a29,14404
0ea81186-374c-4a4d-8d47-51ced2403a29,14581
0ea81186-374c-4a4d-8d47-51ced2403a29,14793
0ea81186-374c-4a4d-8d47-51ced2403a29,14910
0ea81186-374c-4a4d-8d47-51ced2403a29,14915
0ea81186-374c-4a4d-8d47-51ced2403a29,16003
0ea81186-374c-4a4d-8d47-51ced2403a29,16004
0ea81186-374c-4a4d-8d47-51ced2403a29,16009
0ea81186-374c-4a4d-8d47-51ced2403a29,16019
0ea81186-374c-4a4d-8d47-51ced2403a29,16161
0ea81186-374c-4a4d-8d47-51ced2403a29,16562
0ea81186-374c-4a4d-8d47-51ced2403a29,16563
0ea81186-374c-4a4d-8d47-51ced2403a29,17274
0ea81186-374c-4a4d-8d47-51ced2403a29,17262
0ea81186-374c-4a4d-8d47-51ced2403a29,17258
0ea81186-374c-4a4d-8d47-51ced2403a29,17600
0ea81186-374c-4a4d-8d47-51ced2403a29,17606
0ea81186-374c-4a4d-8d47-51ced2403a29,17742
0ea81186-374c-4a4d-8d47-51ced2403a29,17762
0ea81186-374c-4a4d-8d47-51ced2403a29,17809
0ea81186-374c-4a4d-8d47-51ced2403a29,17796
0ea81186-374c-4a4d-8d47-51ced2403a29,17812
0ea81186-374c-4a4d-8d47-51ced2403a29,17800
0ea81186-374c-4a4d-8d47-51ced2403a29,17841
0ea81186-374c-4a4d-8d47-51ced2403a29,17852
0ea81186-374c-4a4d-8d47-51ced2403a29,87044
0ea81186-374c-4a4d-8d47-51ced2403a29,17860
0ea81186-374c-4a4d-8d47-51ced2403a29,17889
0ea81186-374c-4a4d-8d47-51ced2403a29,17901
0ea81186-374c-4a4d-8d47-51ced2403a29,17904
0ea81186-374c-4a4d-8d47-51ced2403a29,17909
